Tool,Batch,Command LOC,RunAsync,Async Main,Await Count,Option Literals,ReadLine Calls,ReadAll Calls,ReadToEnd Calls,Whole-input Risk,Task.Run Calls,Blocking WaitForExit,P/Invoke,NotImplementedException
arch,7,42,False,False,0,0,0,0,0,False,0,0,False,0
b2sum,5,85,False,False,0,1,0,0,0,False,0,0,False,0
base32,4,123,False,False,0,3,0,1,0,True,0,0,False,0
base64,4,72,False,False,0,3,0,1,0,True,0,0,False,0
basename,7,66,False,False,0,0,0,0,0,False,0,0,False,0
basenc,4,134,False,False,0,3,0,2,2,True,0,0,False,0
cat,3,99,False,False,0,0,1,0,0,False,0,0,False,0
chcon,21,131,False,False,0,2,0,0,0,False,0,2,False,0
chgrp,21,33,False,False,0,0,0,0,0,False,0,0,False,3
chmod,21,92,False,False,0,0,0,0,0,False,0,0,False,0
chown,21,25,False,False,0,0,0,0,0,False,0,0,False,2
chroot,21,19,False,False,0,0,0,0,0,False,0,0,False,1
cksum,5,80,False,False,0,2,0,0,0,False,0,0,False,0
comm,12,153,False,False,0,4,1,0,0,False,0,0,False,0
cp,22,91,False,False,0,2,0,0,0,False,0,0,False,0
csplit,14,143,False,False,0,1,2,0,0,False,0,0,False,0
cut,12,166,False,False,0,4,1,0,0,True,0,0,False,0
date,9,104,False,False,0,3,0,0,0,False,0,0,False,0
df,24,52,False,False,0,0,0,0,0,False,0,0,False,0
diff,16,61,False,False,0,0,0,2,0,True,0,0,False,0
dir,23,96,False,False,0,3,0,0,0,False,0,0,False,0
dircolors,23,105,False,False,0,3,0,1,0,True,0,0,False,0
dirname,7,53,False,False,0,0,0,0,0,False,0,0,False,0
du,24,49,False,False,0,0,0,0,0,False,0,0,False,0
echo,6,88,False,False,0,3,0,0,0,False,0,0,False,0
ed,17,188,False,False,0,0,3,1,0,True,0,0,False,0
env,26,90,False,False,0,0,0,0,0,False,0,1,False,0
expand,11,97,False,False,0,1,1,0,0,False,0,0,False,0
expr,10,95,False,False,0,0,0,0,0,False,0,0,False,0
factor,6,89,False,False,0,0,1,0,0,False,0,0,False,0
false,6,16,False,False,0,0,0,0,0,False,0,0,False,0
fmt,11,125,False,False,0,1,1,0,0,False,0,0,False,0
fold,11,77,False,False,0,1,1,0,0,False,0,0,False,0
grep,15,160,False,False,0,7,1,0,0,False,0,0,False,0
groups,8,189,False,False,0,1,0,0,0,False,0,0,False,1
head,1,1307,True,True,38,15,0,0,0,False,0,0,False,0
hostname,7,16,False,False,0,0,0,0,0,False,0,0,False,0
id,8,127,False,False,0,4,0,0,0,False,0,0,True,0
install,22,313,False,False,0,12,0,0,0,False,0,3,False,0
join,12,108,False,False,0,1,2,0,0,False,0,0,False,0
kill,26,39,False,False,0,0,0,0,0,False,0,0,False,0
link,19,214,False,False,0,8,0,0,0,False,0,2,True,0
ln,19,167,False,False,0,5,0,0,0,False,0,0,True,0
logname,8,35,False,False,0,2,0,0,0,False,0,0,False,0
ls,23,568,False,False,0,0,0,0,0,True,0,0,False,1
md5sum,5,79,False,False,0,0,0,1,0,True,0,0,False,0
mkdir,19,53,False,False,0,0,0,0,0,False,0,0,False,0
mv,22,91,False,False,0,0,0,0,0,False,0,0,False,0
nice,26,128,False,False,0,3,0,0,0,False,0,1,True,0
nl,11,142,False,False,0,0,2,0,0,False,0,0,False,0
